"산업분류(1)","규모별(1)",2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09
"산업분류(1)","규모별(1)",전체근로일수 (일),상용근로일수 (일),임시일용근로일수 (일),전체근로시간 (시간),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),임시일용근로시간 (시간),전체임금총액 (원),상용임금총액 (원),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),임시일용임금총액 (원)
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","-1~29인",21.6,22.5,10.8,172.5,180.1,173.9,6.2,83.2,4102500,4308336,3603446,243340,461550,1687304
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)"," -1~299인",21.8,22.3,13.1,179.7,184.6,172.2,12.4,100.4,4782509,4960660,3656565,481038,823057,1888556
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)"," -5~299인",21.9,22.3,13.8,181.7,185.9,172.0,13.8,105.8,4988908,5153387,3715078,538675,899634,2007713
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","1~4인",21.1,22.4,10.2,164.4,174.1,173.8,0.4,78.8,3181023,3382056,3177289,8943,195824,1415704
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","5~9인",21.5,22.9,13.2,166.9,178.3,173.4,4.9,100.6,3635391,3880829,3441259,161339,278231,2211949
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","10~29인",21.8,22.4,8.0,177.6,182.7,174.2,8.6,62.8,4619868,4772207,3804555,351385,616267,1195710
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~99인",22.2,22.3,19.9,191.7,193.1,171.8,21.3,152.6,5482636,5592745,3687025,796041,1109678,2489961
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","100~299인",20.9,20.8,22.0,175.4,175.4,162.3,13.1,175.9,6449903,6500937,3881336,641892,1977709,2895461
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","300인이상",...,...,...,...,...,...,...,...,...,...,...,...,...,...
"F.건설업(41~42)","전규모(1인이상)",17.0,21.8,11.2,137.0,176.1,171.7,4.4,90.0,3610773,4603004,4020781,166608,415614,2419167
"F.건설업(41~42)"," -5인이상",17.2,21.8,12.0,139.4,177.3,171.9,5.4,95.9,3820592,4900048,4248387,205874,445787,2581665
"F.건설업(41~42)"," -10인이상",17.7,21.8,13.0,144.3,178.5,171.5,7.0,104.3,4136794,5315294,4525771,267607,521917,2757577
"F.건설업(41~42)"," -30인이상",18.7,21.5,14.6,154.9,181.4,170.0,11.4,117.4,4936024,6277431,5027428,457178,792824,3041702
"F.건설업(41~42)","-1~9인",16.0,21.9,8.7,126.7,172.8,171.9,0.9,69.4,2872525,3631104,3331737,28799,270568,1927790
"F.건설업(41~42)","-1~29인",16.4,21.9,10.2,130.4,173.9,172.3,1.6,81.2,3126446,3928463,3615255,49553,263656,2218018
"F.건설업(41~42)"," -1~299인",16.8,21.9,11.2,134.8,175.4,172.1,3.2,89.9,3416936,4324196,3839621,116615,367960,2414670
"F.건설업(41~42)"," -5~299인",17.0,21.9,12.0,136.8,176.6,172.6,4.1,95.8,3594052,4578849,4043809,146609,388430,2577387
"F.건설업(41~42)","1~4인",16.1,21.9,7.5,126.0,170.9,170.6,0.3,59.9,2672397,3411819,3108052,9148,294619,1581632
"F.건설업(41~42)","5~9인",15.9,21.9,9.5,127.3,174.5,173.0,1.5,75.7,3029261,3827083,3531649,46361,249073,2157061
"F.건설업(41~42)","10~29인",16.9,22.0,11.9,135.3,175.6,173.0,2.6,95.1,3460472,4362261,4028860,79829,253573,2558175
"F.건설업(41~42)","30~99인",17.8,21.8,13.5,144.9,179.2,171.7,7.4,108.4,4265251,5560638,4582464,281337,696837,2887887
"F.건설업(41~42)","100~299인",19.1,21.6,16.9,159.0,183.9,170.8,13.1,136.0,4666277,6103483,4749144,524493,829846,3344924
"F.건설업(41~42)","300인이상",20.7,21.0,14.5,179.8,183.4,166.6,16.8,114.9,7365551,7593195,5963703,702788,926703,3215097
"G.도매 및 소매업(45~47)","전규모(1인이상)",21.1,21.7,13.3,166.8,172.8,168.9,3.9,93.8,4153664,4381746,3783841,111668,486237,1369888
